date,lp,surface,latitude,longitude,dis24_cleaned,dis24_original
1983-02-12,17772.812,0.0,31.775000000000563,121.07499999999494,17772.812,17772.812
1983-02-13,18240.906,0.0,31.775000000000563,121.07499999999494,18240.906,18240.906
1983-02-14,18516.266,0.0,31.775000000000563,121.07499999999494,18516.266,18516.266
1983-02-15,18567.11,0.0,31.775000000000563,121.07499999999494,18567.11,18567.11
1983-02-16,18406.734,0.0,31.775000000000563,121.07499999999494,18406.734,18406.734
1983-02-17,18105.734,0.0,31.775000000000563,121.07499999999494,18105.734,18105.734
1983-02-18,17754.89,0.0,31.775000000000563,121.07499999999494,17754.89,17754.89
1983-02-19,17397.938,0.0,31.775000000000563,121.07499999999494,17397.938,17397.938
1983-02-20,17020.89,0.0,31.775000000000563,121.07499999999494,17020.89,17020.89
1983-02-21,16612.562,0.0,31.775000000000563,121.07499999999494,16612.562,16612.562
1983-02-22,16185.328,0.0,31.775000000000563,121.07499999999494,16185.328,16185.328
1983-02-23,15782.906,0.0,31.775000000000563,121.07499999999494,15782.906,15782.906
1983-02-24,15485.297,0.0,31.775000000000563,121.07499999999494,15485.297,15485.297
1983-02-25,15328.406,0.0,31.775000000000563,121.07499999999494,15328.406,15328.406
1983-02-26,15291.031,0.0,31.775000000000563,121.07499999999494,15291.031,15291.031
1983-02-27,15366.531,0.0,31.775000000000563,121.07499999999494,15366.531,15366.531
1983-02-28,15526.344,0.0,31.775000000000563,121.07499999999494,15526.344,15526.344
1983-03-01,15679.734,0.0,31.775000000000563,121.07499999999494,15679.734,15679.734
1983-03-02,15862.484,0.0,31.775000000000563,121.07499999999494,15862.484,15862.484
1983-03-03,16211.406,0.0,31.775000000000563,121.07499999999494,16211.406,16211.406
1983-03-04,16822.484,0.0,31.775000000000563,121.07499999999494,16822.484,16822.484
1983-03-05,17711.172,0.0,31.775000000000563,121.07499999999494,17711.172,17711.172
1983-03-06,18694.422,0.0,31.775000000000563,121.07499999999494,18694.422,18694.422
1983-03-07,19700.375,0.0,31.775000000000563,121.07499999999494,19700.375,19700.375
1983-03-08,20729.438,0.0,31.775000000000563,121.07499999999494,20729.438,20729.438
1983-03-09,21734.781,0.0,31.775000000000563,121.07499999999494,21734.781,21734.781
1983-03-10,22803.922,0.0,31.775000000000563,121.07499999999494,22803.922,22803.922
1983-03-11,23759.172,0.0,31.775000000000563,121.07499999999494,23759.172,23759.172
1983-03-12,24786.25,0.0,31.775000000000563,121.07499999999494,24786.25,24786.25
1983-03-13,25936.281,0.0,31.775000000000563,121.07499999999494,25936.281,25936.281
1983-03-14,26649.969,0.0,31.775000000000563,121.07499999999494,26649.969,26649.969
1983-03-15,26672.734,0.0,31.775000000000563,121.07499999999494,26672.734,26672.734
1983-03-16,26089.75,0.0,31.775000000000563,121.07499999999494,26089.75,26089.75
1983-03-17,25110.594,0.0,31.775000000000563,121.07499999999494,25110.594,25110.594
1983-03-18,23945.938,0.0,31.775000000000563,121.07499999999494,23945.938,23945.938
1983-03-19,22774.5,0.0,31.775000000000563,121.07499999999494,22774.5,22774.5
1983-03-20,21759.281,0.0,31.775000000000563,121.07499999999494,21759.281,21759.281
1983-03-21,21142.406,0.0,31.775000000000563,121.07499999999494,21142.406,21142.406
1983-03-22,20841.531,0.0,31.775000000000563,121.07499999999494,20841.531,20841.531
1983-03-23,20667.594,0.0,31.775000000000563,121.07499999999494,20667.594,20667.594
1983-03-24,20786.688,0.0,31.775000000000563,121.07499999999494,20786.688,20786.688
1983-03-25,21325.312,0.0,31.775000000000563,121.07499999999494,21325.312,21325.312
1983-03-26,22426.875,0.0,31.775000000000563,121.07499999999494,22426.875,22426.875
1983-03-27,23678.344,0.0,31.775000000000563,121.07499999999494,23678.344,23678.344
1983-03-28,24516.625,0.0,31.775000000000563,121.07499999999494,24516.625,24516.625
1983-03-29,25245.406,0.0,31.775000000000563,121.07499999999494,25245.406,25245.406
1983-03-30,26206.719,0.0,31.775000000000563,121.07499999999494,26206.719,26206.719
1983-03-31,27406.469,0.0,31.775000000000563,121.07499999999494,27406.469,27406.469
1983-04-01,28405.188,0.0,31.775000000000563,121.07499999999494,28405.188,28405.188
1983-04-02,28690.375,0.0,31.775000000000563,121.07499999999494,28690.375,28690.375
1983-04-03,28254.281,0.0,31.775000000000563,121.07499999999494,28254.281,28254.281
1983-04-04,27389.906,0.0,31.775000000000563,121.07499999999494,27389.906,27389.906
1983-04-05,26243.75,0.0,31.775000000000563,121.07499999999494,26243.75,26243.75
1983-04-06,24982.094,0.0,31.775000000000563,121.07499999999494,24982.094,24982.094
1983-04-07,23785.438,0.0,31.775000000000563,121.07499999999494,23785.438,23785.438
1983-04-08,22622.625,0.0,31.775000000000563,121.07499999999494,22622.625,22622.625
1983-04-09,21508.562,0.0,31.775000000000563,121.07499999999494,21508.562,21508.562
1983-04-10,20599.094,0.0,31.775000000000563,121.07499999999494,20599.094,20599.094
1983-04-11,20132.875,0.0,31.775000000000563,121.07499999999494,20132.875,20132.875
1983-04-12,20363.625,0.0,31.775000000000563,121.07499999999494,20363.625,20363.625
1983-04-13,20939.844,0.0,31.775000000000563,121.07499999999494,20939.844,20939.844
1983-04-14,21331.281,0.0,31.775000000000563,121.07499999999494,21331.281,21331.281
1983-04-15,21592.969,0.0,31.775000000000563,121.07499999999494,21592.969,21592.969
1983-04-16,22444.969,0.0,31.775000000000563,121.07499999999494,22444.969,22444.969
1983-04-17,25194.031,0.0,31.775000000000563,121.07499999999494,25194.031,25194.031
